Status,Brand,CPU,RAM,Storage,GPU,Screen,Touch,Price
New,asus,ryzen 7,16,512,nvdia,15.6,No,1199.0
Refurbished,hp,i5,8,256,intel,14.0,Yes,1395.03
New,apple,i5,8,128,intel,13.3,No,1175.93
New,other,i5,8,256,intel,15.6,No,854.9300000000001
Refurbished,msi,i7,16,1000,nvdia,17.3,No,1899.0
New,lenovo,i7,6,256,other,15.6,No,844.23
New,acer,i5,4,256,nvdia,17.0,No,1023.0
Refurbished,asus,ryzen 7,16,512,nvdia,15.6,No,766.09
Refurbished,apple,M2,8,256,intel,13.6,No,1519.0
New,lenovo,i7,8,256,intel,14.0,No,1891.0
New,hp,i7,8,256,intel,12.5,No,1443.43
New,lenovo,i7,8,1000,other,15.6,No,715.83
New,acer,i5,8,256,intel,15.6,No,474.86
New,asus,i5,6,1000,intel,13.3,Yes,683.7407000000001
Refurbished,dell,i5,8,256,intel,15.6,No,1125.75
Refurbished,msi,ryzen 5,8,512,intel,15.6,No,444.19
New,asus,ryzen 5,4,128,amd,15.6,No,615.25
Refurbished,apple,i5,8,512,intel,13.3,No,1027.5
New,dell,i7,8,256,amd,15.6,No,833.3909000000001
Refurbished,hp,i9,16,1000,nvdia,16.1,No,1242.39
New,dell,i3,6,1000,intel,15.6,No,491.13000000000005
Refurbished,lenovo,i3,8,256,intel,14.0,No,585.29
New,lenovo,ryzen 5,4,256,amd,15.6,No,426.93
New,hp,i7,8,256,intel,15.6,No,1656.0
New,microsoft,i7,16,512,intel,13.5,Yes,2022.7
New,samsung,i5,8,256,intel,15.6,No,849.0
New,other,ryzen 5,4,64,intel,15.6,No,266.32300000000004
Refurbished,hp,i5,8,512,intel,14.0,No,1474.28
New,lenovo,other,8,1000,intel,15.6,No,352.03000000000003
Refurbished,lenovo,ryzen 7,16,512,nvdia,15.6,No,1150.04
New,lenovo,ryzen 5,8,256,nvdia,15.6,No,834.11
Refurbished,other,i9,32,1000,nvdia,15.6,No,4399.99
New,hp,other,2,32,intel,11.6,No,223.63
New,hp,i7,16,512,nvdia,,Yes,1863.52
Refurbished,asus,i7,32,1000,nvdia,16.0,No,2599.0
Refurbished,asus,i3,8,256,intel,14.0,No,499.0
New,hp,i5,8,512,intel,15.6,No,676.0
Refurbished,hp,i5,8,256,intel,13.3,No,725.89
New,toshiba,i5,4,128,intel,13.3,No,1374.95
New,hp,i7,16,1000,intel,13.5,No,1699.01
New,acer,i5,8,512,intel,15.6,No,3442.0
Refurbished,other,i7,16,1000,nvdia,15.6,No,1304.79
New,other,i5,16,500,nvdia,15.6,No,1349.9
New,acer,i7,16,1000,nvdia,14.0,No,2119.0
New,lenovo,i5,8,512,intel,14.0,No,979.0
Refurbished,msi,i7,16,512,intel,13.3,No,867.53
New,lenovo,i5,8,512,intel,14.0,No,1274.9
New,lenovo,i3,8,1000,other,15.6,No,533.9300000000001
Refurbished,msi,i7,16,1000,nvdia,17.3,No,1073.34
New,asus,i5,8,512,intel,15.6,No,809.01
Refurbished,dell,i7,32,1000,nvdia,15.6,Yes,2818.09
New,msi,i7,32,1000,nvdia,16.0,No,2059.76
New,asus,i5,8,256,intel,14.0,Yes,899.0
New,lenovo,i7,32,256,other,17.3,No,2849.4100000000003
New,hp,i3,8,256,intel,15.6,No,449.0
New,asus,other,4,32,intel,14.0,No,306.02000000000004
New,dell,i7,16,512,intel,14.0,No,1064.0
Refurbished,apple,i5,8,512,intel,13.3,No,1020.01
New,dell,i5,8,1000,amd,15.6,No,692.2900000000001
New,asus,i5,8,512,intel,15.6,No,1009.0
Refurbished,asus,ryzen 7,16,1000,nvdia,15.6,No,785.69
Refurbished,msi,i7,32,1000,nvdia,15.6,Yes,1414.04
New,asus,i7,16,512,other,14.0,No,1599.65
New,hp,i7,16,512,intel,14.0,No,1997.09
New,lenovo,i5,8,256,intel,14.0,No,699.0
New,lenovo,i5,4,1000,other,15.6,No,651.63
Refurbished,asus,ryzen 7,16,1000,nvdia,15.6,No,1899.0
Refurbished,msi,i7,32,1000,nvdia,15.6,No,1899.0
Refurbished,asus,i7,32,1000,nvdia,17.3,No,1792.89
Refurbished,acer,i7,16,1000,nvdia,16.0,No,1106.09
Refurbished,msi,i7,32,1000,nvdia,15.6,No,1014.19
New,dell,i5,8,256,intel,,No,2340.0
New,samsung,i7,16,512,intel,15.6,Yes,1854.36
New,lenovo,ryzen 3,8,256,intel,15.6,No,499.0
New,microsoft,i5,8,512,intel,13.5,Yes,1576.27
New,acer,ryzen 7,8,512,intel,15.6,No,809.01
Refurbished,asus,i5,8,512,intel,14.0,No,403.23
New,microsoft,ryzen 7,8,512,intel,15.0,Yes,1649.0
New,dell,i5,8,256,intel,14.0,No,1032.38
