Status,CPU,RAM,Storage,GPU,Screen,Price,apple,asus,dell,hp,lenovo,microsoft,msi,other,samsung,toshiba
0,3,4,4,2.0,15.6,2079.01,0,1,0,0,0,0,0,0,0,0
0,3,4,4,2.0,17.3,1499.0,0,0,0,0,0,0,1,0,0,0
1,3,3,3,2.0,15.6,1106.34,0,1,0,0,0,0,0,0,0,0
0,2,3,3,2.0,16.1,865.4,0,0,0,1,0,0,0,0,0,0
1,3,3,3,2.0,16.1,641.14,0,0,0,1,0,0,0,0,0,0
0,3,3,3,1.0,16.0,1748.99,0,0,0,0,1,0,0,0,0,0
0,2,2,3,1.0,13.3,895.162,0,0,0,1,0,0,0,0,0,0
0,2,2,3,2.0,15.6,536.48,0,0,0,1,0,0,0,0,0,0
0,3,4,4,1.0,17.0,2199.0,0,0,0,0,0,0,0,1,0,0
0,2,3,3,1.0,14.0,749.0,0,0,0,0,1,0,0,0,0,0
1,0,2,3,1.0,15.6,480.95,0,0,0,0,1,0,0,0,0,0
1,1,2,3,1.0,13.3,767.39,1,0,0,0,0,0,0,0,0,0
0,2,2,3,1.0,15.6,494.81,0,0,0,1,0,0,0,0,0,0
0,3,2,3,1.0,13.3,1550.43,0,0,1,0,0,0,0,0,0,0
1,2,2,3,2.0,15.6,675.0,0,0,0,1,0,0,0,0,0,0
1,3,3,3,2.0,15.6,935.69,0,0,0,0,0,0,0,1,0,0
1,3,3,3,1.0,15.6,1430.18,0,0,0,0,0,0,1,0,0,0
0,1,2,3,1.0,14.0,529.0,0,0,0,0,0,0,0,1,0,0
0,3,3,3,1.0,15.6,1199.0,0,0,0,0,1,0,0,0,0,0
1,3,3,3,1.0,14.0,1689.06,0,0,0,1,0,0,0,0,0,0
0,2,1,1,1.0,14.0,225.556,0,0,0,0,0,0,0,1,0,0
0,2,2,3,0.0,15.6,1010.0,0,0,1,0,0,0,0,0,0,0
0,3,3,3,1.0,15.6,2501.6600000000003,0,0,1,0,0,0,0,0,0,0
1,3,3,4,1.0,14.0,1999.0,0,0,0,0,1,0,0,0,0,0
0,0,1,2,0.0,14.0,267.49,0,0,0,0,0,0,0,1,0,0
